문장,확실성
공업 제품이 11 오른 가운데 이 중 석유류가 11 상승해 전체 물가를 11포인트 끌어올렸다,확실
사회탐구를 선택한 문과 학급은 1개 학급으로 전체의 11에 그쳤다,확실
한국조세정책학회는 1일 법무법인율촌 렉처홀에서 암호화폐 과세의 합리적인 모습은을 주제로 세미나를 개최했다,확실
돌아오는 길에 관찰사가 많은 노자와 종이 붓을 선물로 줬지만 서경덕은 모두 사양하고 단지 쌀 닷 되만 받았다,확실
맨큐 교수는 공화당 지지자였던 부친으로부터 일찌감치 공화당 피를 물려받았다,확실
지금 한반도 남쪽에는 명태가 살지 않는다,확실
1코스는 큰바람재에서 노지랑골 사거리를 잇는 11 1시간1분 거리의 길로 코스 이름은 수행길이다,확실
봉은사 측은 당시 봉은사는 조계종 직영사찰이 아니었기 때문에 정부와 봉은사가 직접 매매계약을 체결해야 했다며 조계종 총무원과 상공부가 계약을 맺은 만큼 당시 계약은 무효라고 주장했다,확실
영양치료에 처방되는 비타민 a는 당근과 같은 채소나 산야초 해초류등에 들어있는 성분과 동일한 성분이다,확실
개발원 관계자는 인터넷으로 보장 내용을 설계할 경우 사고 발생시 충분한 보상을 받을 수 있도록 운전자 범위와 담보별 가입 여부 보상 한도 등 적합한 보장 범위를 선택하는 게 중요하다고 강조했다,확실
마스크를 사재기한 후 폭리를 취하거나 중국으로 밀반출하는 악덕 업자들이 등장했고 온라인 마스크 사기도 기승을 부렸다,확실
소선거구제가 도입된 1대 총선 이후 진보진영 후보들은 정권의 부침과 상관없이 대구에서 단 한 명도 빠짐없이 전멸했다,확실
뽑은 사람이 많을수록 장수 재목은 더욱 모자랐다,확실
그 전에 관리처분계획인가를 받기 위해서는 총회 의결이 필수다,확실
춘천 소양강의 빼어난 경치를 만끽할 수 있는 소양강 스카이워크는 수많은 여행자들을 불러 모으는 명소가 됐다,확실
이에 대해 대한변리사회는 대변인 논평을 통해 모든 판사에게 변호사자격을 인정하는 현행 변호사법제1조제1호 조항이 변호사 집단과 이익이 충돌하는 단체와의 소송에서 판결에 영향을 미친다고 보는 것이 일반인의 상식이라며 변리사들은 실제로 헌법재판소와 대법원이 합작한 변리사 특허침해 소송대리권 부정 판결로 법정에서 내쫓기고 지금도 변리사법이 인정하지 않고 있는 법무법인의 특허청 대리 허용 판결 등에 맞서 외롭게 투쟁하고 있는 소수집단이라며 대법원의 상고기각 판결을 지적했다,확실
전 세계 음악산업이 디지털로 개편되는 가운데 국내 시장은 아이돌 음반의 판매호조로 성장을 이어갔다,확실
유사 종목인 곡성의 돌실나이는 삼베짜기 내 세부 기예능으로 통합해 관리된다,확실
커뮤니티칼리지는 정규 대학은 아니지만 아무 연령대나 대학에 입학해 다양한 학습을 할 수 있는 교육기관이다,확실
통상 축산농가들은 관리 문제로 가축 사료를 하루에서 이틀치만 재고로 쌓아두는데 파업 여파로 사료용 곡물 유통이 막혀 가축들이 굶다 폐사할 상황이다,확실
한국카카오은행은 매월 최대 1만원의 캐시백 혜택을 받을 수 있는 카카오뱅크 프렌즈 체크카드 프로모션을 시작한다고 1일 밝혔다,확실
성호사설에 따르면 석봉은 양반이기는 했으나 한미한 가문 출신이었다,확실
조선 제1대 왕 연산군을 직접 봤던 이는 폭군의 얼굴을 이렇게 묘사했다,확실
당시 재계 단체들은 집단운송거부가 장기화되면서 시멘트 석유화학 철강은 물론 자동차와 전자부품의 수급도 차질을 빚고 있다며 우리 경제의 버팀목인 제조업과 무역에 막대한 피해가 누적되고 있다고 지적했다,확실
한국미술시가감정협회에 따르면 지난해 이우환의 국내 경매 낙찰총액은 1억원으로 1위 김환기11 낙찰총액 1억원에 이어 1위를 차지했을 정도로 가장 인기 많은 생존 작가다,확실
지방자치단체는 불법주차 주차표지 양도대여 등 부정 사용 주차표지 위변조 주차방해 행위 등을 단속하고 있으며 적발 건수는 1년 1만1건에서 1년 1만1건 1년 1만1건 1년 1만1건 1년 1만1건 등으로 매년 증가하고 있다,확실
중국 법인의 1월 영업이익은 1억원으로 전년 동기 대비 1 급증했다,확실
과거에서 지혜를 길어오기 위해 저자는 제국의 흥망성쇠와 기축통화 시장을 연구했다,확실
크로니클은 컴투스가 다년간의 개발 기간을 통해 완성도를 높여온 신작 a다,확실
또 다른 간부는 검찰 간부 인사에 경찰 의존도가 높아지면 객관적인 근무평정을 왜곡하는 인사가 이뤄질 수 있기 때문에 결국 인사권자와 국민이 피해를 입게 될 것이라고 말했다,확실
11대 정부 수반이 지구촌을 이끌고 있다,확실
수원지법 형사1부부장판사 김병찬는 1일 화성1차 사건 범인으로 지목돼 살인 등 혐의로 대법원에서 유죄가 확정된 윤씨에 대해 재심개시결정을 내렸다,확실
입안에서 만두피가 터지는 순간 기분 좋게 흐르는 육즙과 어우러지는 만두 소의 맛은 이곳을 다시 찾게 하는 첫 번째 이유다,확실
하이트진로가 협상에 개입하면 하도급법 위반에 해당한다,확실
전 우리금융 출신 a씨는 손 회장이 권 내정자와 이 부사장을 경쟁 구도로 두면서 영향력을 행사하고자 하는 포석이 아닐까 한다고 귀띔했다,확실
격변의 시대에 경직성은 곧 소멸을 의미한다,확실
최근 주가 급등세로 증시 눈길을 끌고 있는 전기 자동차제조업체 테슬라도 중국 생산판매 차질 여파를 들며 1분기 실적 우려를 내비친 바 있다,확실
위기 극복을 위해 생산을 늘리고 싶어도 획일적인 주 1시간 근무제에 발목 잡힌 상황도 풀어야 한다,확실
대한민국 역대 정치를 돌이켜보면 역사는 돌고 돈다는 말이 그대로 적용되는 듯하다,확실
금융권 관계자는 바이러스 전염에 대한 심각성이 증가하는 가운데 방역용품을 적시에 지원함으로써 사회에서 보호받아야 할 아동들 및 어르신들의 감염 예방에 보탬이 되길 바란다고 밝혔다,확실
이런 다국적 제약 기업들이 대다수 병원의 의학교육 연수교육까지 담당하고 있어 직간접적으로 환자들의 투약에 관여하고 있는 실정이다,확실
효령대군의 후손 이기빈 1이 제주 목사로 있을 때 유구국 세자가 대정에 표류했다,확실
그는 일반 사무직 직원 기준으로 11주가량 온라인 교육을 받은 뒤 한 달 정도 로봇에 익숙해질 수 있는 파일럿 테스트를 거치면 된다고 설명했다,확실
호기를 잡은 중국이 원군을 급파했고 우두머리를 잃은 데다 본국으로부터의 원조마저 끊긴 왜군이 전의를 잃고 궤멸됐다는 것이다,확실
보험 중도 해약 건수가 1년 전년 대비 1 늘어난 것으로 나타났다,확실
대표적 가상화폐인 비트코인의 가치가 1년 1월 이후 처음으로 1만 달러 아래로 떨어졌다,확실
산림경제는 죽은 사람을 살려내는 묘책도 제시한다,확실
오킹은 사과문을 통해 의도 그리고 상황과 관계없이 오해의 소지가 있었다는 것에 대해 사과드린다며 검은색에 흰색 입술  흑인이라고 생각하지 않았다고 밝혔다,확실
은행들은 신종 코로나 피해기업에 대한 금융지원은 물론 사회공헌활동에도 앞장서고 있다,확실
피로가 누적된 상태만 아니라면 1시간 정도면 충분하다,확실
기본적인 정보만 입력해 무작위로 이미지를 생성하는 방식이다,확실
이에 대해 정조는 임금이 말을 탈 때는 소매통이 좁은 옷 즉 군복을 입어도 된다고 되받았다,확실
넥슨코리아 a 팀 캐릭터 유닛의 강민구 개발자의 프라시아 전기 캐릭터 개발 노트 강연이다,확실
불상도 여러 사찰을 전전하다가 없어졌다,확실
저들의 이름은 수거자를 뜻하는 달리트a로 불가촉천민이다,확실
aa 개발 및 양산 주 사업자인 한국항공우주산업이하 a은 지난 1월부터 aa 전방 중앙 후방동체 구조 조립에 착수해 1월 현재 최종 조립 단계에 들어갔으며 내년 상반기까지 시제기를 완성시키기 위해 박차를 가하고 있다,확실
대마도는 전통적으로 일본보다 조선과 가까웠다,확실
형상과 체구가 커서 거의 두 길이나 되어서 말을 타거나 수레를 타고 다닐 수 없었다고 한다,확실
특히 이 부회장은 자신의 남동생인 이재현 a 회장1에게도 불가능한 꿈일지라도 언제나 우리가 꿈을 꿀 수 있도록 해줘서 고맙다고 말했다,확실
세계가 1차 대전의 공포에 휩싸인 것은 당연하다,확실
아보카도 1a에는 지방이 1a가량 들어 있는데 이 가운데 1 이상이 건강에 좋은 불포화 지방이다,확실
그러면서 고비용 저효율 구조의 기존 스위프트a와 미국도매결제시스템a을 대체하는 디지털전자결제화폐a 개발을 중국인민은행이 주도하고 있다면서 a를 통해 디지털 금융시장에서 통화주권과 신용 재정관리성을 확보할 수 있을 것이라고 공언했다,확실
경실련 등 시민단체마저도 현 정부가 역대 정부 중 서울 집값을 가장 많이 올린 정부라고 결론 내린 상황이었다,확실
그러니까 자유는 공짜인 거죠,확실
제품에는 제품에 맞는 가격이 있다는 것이 하 대표의 경영 철학이다,확실
박동량은 황해도 봉산군의 군수로 있었던 백부 박응천에게서 이 일대를 무대로 활약했던 임꺽정에 대해 들어서 잘 알고 있었던 것으로 보인다,확실
홍만선의 산림경제는 음식을 급하게 먹으며 쾌락만 일삼으면 내장에 찌꺼기만 채워질 따름이라고 했다,확실
1년 1월 블리즈컨에서 첫 공개 당시 팬들의 비판에 직면했던 디아블로 이모탈이다,확실
이에 따라 전세를 끼고 집을 매입한 뒤 시세차익을 얻는 이른바 갭투자가 다시 고개를 드는 모습이다,확실
영화 인물들은 계단을 내려와 터널로 진입하지만 코스대로 경복궁역에서 출발하면 터널을 통과해야 비로소 계단을 볼 수 있다,확실
게임 개발사를 포함해 컨텐츠와 관계된 다양한 분야에 투자할 것이며 이스포츠도 포함된다,확실
아직 생존해 있는 한국전쟁 참전용사와 그 후손을 배려하면 친한파로 활용할 여지가 많다,확실
산단가는 지난 1월 1원에서 11원으로 인상된 데 이어 1월뿐 아니라 1월에도 11원에서 11원으로 11원 더 오른다,확실
한 장수의 운명 과정을 이처럼 상세히 기술한 부분은 다른 기록 어디에서도 찾을 수 없다,확실
적혈구는 헤모글로빈이라는 혈색소를 함유하고 있다,확실
한편 대한변리사회는 대한변호사협회가 지난 1년 1월 말 변호사에 대한 변리사 자동자격 폐지법안이 통과되자 변리사등록을 한 변호사를 회원으로 한 대한특허변호사회를 설립해 자격취득을 위한 실무수습을 약화시키기 위해 시행령 제정에 개입하고  변리사제도 축소와 변리사회장 선거 등에서 특정후보 비난 등의 활동을 펼치자 1년 1월 이에 앞장 선 김승렬 초대회장을 반변리사활동 및 품위유지 위반을 이유로 징계위에 회부해 회원에서 제명했다,확실
동물을 죽음에 이르게 하는 행위에 대해선 현행 1년 이하 징역 1만원 이하 벌금에서 1년 이하 징역 1만원 이하 벌금으로 처벌 수위를 높이며 동물 유기에 대한 처벌 강화도 추진된다,확실
